Nome,ticker,valor,resumo_final,tag1,tag2,tag3,tag4,tag5
PetroRecôncavo,recv3,https://www.statusinvest.com.br,"Status Invest is a financial investment platform that provides comprehensive tools, information, and services related to various investment assets primarily in the Brazilian and international markets. The company offers detailed data, analytics, and insights on stocks, real estate investment trusts (REITs), exchange-traded funds (ETFs), fixed income, cryptocurrencies, and other financial instruments. Its services include advanced search and analysis functionalities for stocks, IPOs, FIIs (Brazilian real estate funds), investment funds (FIAs, FIDCs, FIPs, FI-Infra, Fiagros), BDRs, Treasury bonds, and market indexes. Status Invest also offers personalized financial advisory services with several tiers of investment advisory plans (on-demand, exclusive, premium, private), designed to provide portfolio mapping, goal alignment, continuous monitoring by dedicated advisors, and fixed transparent fees. The advisory service emphasizes client-aligned interests and certified professional support to enhance investment strategies and growth. In addition, the platform features real-time data updates, dividend information, event calendars, and educational content like investment courses. Overall, Status Invest operates as a comprehensive investment management and advisory platform aiming to centralize investment tracking, provide research tools, and offer tailored financial advice to help investors make informed decisions and grow their wealth.",['Financials'],"['Financial Instruments, Products, Contracts and Agreements', 'Financial and Insurance Services']","['Banking and investment', 'Securities', 'Development finance']","['Investment advice', 'Equity based securities', 'Debt based securities', 'Securities and commodities markets services']","['Investment advisers', 'Investment analysis', 'Market data', 'Financial asset management service', 'Investment policy']"
Hapvida,hapv3,https://www.hapvida.com.br,"Hapvida is the largest health and dental insurance operator in Latin America, serving approximately 15.8 million beneficiaries with 80 years of experience in the healthcare sector. The company offers a comprehensive range of health and dental plans for individuals, businesses (including microenterprises), and various plan categories with local, regional, and national coverage. Hapvida operates an integrated network of healthcare facilities across Brazil, including 86 hospitals, 80 emergency care centers, 365 clinics, and 301 diagnostic units for imaging and laboratory testing. Services include medical consultations, exams scheduling, teleconsultations, preventive medicine programs, epidemiological monitoring, medical and dental treatments, hospital and outpatient emergency care, high-complexity care, and administration of healthcare plans. They also provide financial services such as billing, debt negotiation, and online access to medical results and authorizations. Hapvida emphasizes quality and patient safety through its Qualitotal program, clinical research via its Clinical Research Institute, medical and dental education programs, and compliance with ethics and integrity policies. The company continuously invests in innovation, technology, and humanized care to promote accessible, high-quality healthcare and dental services throughout Brazil.",['Health Care'],['Healthcare Services'],"['Comprehensive health services', 'Disease prevention and control', 'Medical practice']","['Healthcare centers', 'Healthcare provider support persons', 'Health administration services', 'Primary care practitioner services', 'Medical laboratories', 'Dental services']","['Private specialized clinic services', 'Emergency or surgical hospital services', 'Medical office services', 'Urgent care centers', 'Health policy']"
Dexco,dxco3,https://www.dex.co,"Dexco is a leading Brazilian company specializing in construction, renovation, and decoration materials. With over 70 years of history, it operates as a multi-business platform encompassing a portfolio of strong brands, including Deca, Portinari, Castelatto, Ceusa, Duratex, Durafloor, and Florestal. Dexco's core products and services include industrialized wood panels, sanitary ware (louças sanitárias), metal fittings, ceramic coatings, and advanced ceramic solutions. The company also emphasizes sustainability and ESG (Environmental, Social, and Governance) principles, managing extensive forestry operations and promoting eco-efficient practices. Dexco supports innovation through initiatives such as corporate venture capital investments and digital transformation aimed at enhancing consumer experiences and operational efficiency. Additionally, Dexco invests in professional training programs and maintains a strong commitment to social responsibility and community engagement.","['Consumer Discretionary', 'Industrials', 'Materials']","['Building and Construction Machinery and Accessories', 'Structures and Building and Construction and Manufacturing Components and Supplies', 'Industrial Production and Manufacturing Services', 'Education and Training Services']","['Structural components and basic shapes', 'Interior finishing materials', 'Doors and windows and glass', 'Concrete and cement and plaster']","['Structural products', 'Wall finishing materials', 'Flooring', 'Interior laminates', 'Doors', 'Windows']","['Wood composite beams', 'Wood beams', 'Wood panels']"
Arezzo,azza3,https://www.arezzoco.com.br,"Azzas 2154 is the largest fashion group in Latin America, formed in 2024 through the merger of Arezzo&Co and Grupo SOMA. The company operates with sustainability as a core business principle, promoting social, environmental, and ethical responsibility. It comprises 27 fashion brands and employs over 22,500 people, with more than 2,000 stores, including 1,500 franchises, serving over 11 million customers. Their business operates across four units: Footwear and Accessories, Women's Apparel, Democratic Apparel, and Men's Apparel. The group focuses on innovative, sustainable fashion products and emphasizes Brazilian creativity and culture on the global stage. Key offerings include clothing, footwear, and fashion accessories across various brands under its portfolio.",['Consumer Discretionary'],['Apparel and Luggage and Personal Care Products'],"['Clothing', 'Footwear', 'Luggage and handbags and packs and cases']","['Footwear and Accessories', 'Clothing accessories', 'Shirts and blouses', 'Sweaters', 'Suits', 'Dresses and skirts and saris and kimonos', 'Athletic wear', 'Nightwear', 'Uniforms']","['Womens shirts or blouses', 'Mens shirts', 'Womens athletic wear', 'Mens athletic wear', 'Womens dresses or skirts or saris or kimonos']"
Locaweb,lwsa3,https://www.locaweb.com.br,"Locaweb is a Brazilian company specializing in internet services, primarily focusing on web hosting and cloud computing solutions. Their main products and services include email services (Email Locaweb, Email GO, Email Exchange, Email Marketing, SMTP Locaweb, Google Workspace), various hosting options (web hosting, WordPress hosting, dedicated hosting, VPS hosting, cPanel and Plesk reseller hosting), domain registration, SSL certificates, cloud servers, virtual PBX, social media management tools, backup solutions, digital security, website builders, affiliate programs, and other related internet infrastructure services. Locaweb operates one of the largest data centers in Latin America, providing high availability and security. They also emphasize customer support through extensive help resources, technical assistance, and an ombudsman service.","['Information Technology', 'Communication Services']",['Information Technology Broadcasting and Telecommunications'],"['Data Voice or Multimedia Network Equipment or Platforms and Accessories', 'Software', 'Components for information technology or broadcasting or telecommunications']","['Network service equipment', 'Telephony equipment', 'Business function specific software', 'Digital mobile network infrastructure equipment and components', 'Network management software']","['Internet service node startup kits', 'Content delivery networking equipment', 'Network routers', 'Cable modems', 'Telephony equipment alarm units', 'Cloud-based management software']"
Oi,oibr3,https://www.oi.com.br,"Oi is a Brazilian telecommunications and technology company focusing on providing integrated digital solutions primarily for large public and private companies. Its main offerings include managed network services, cybersecurity, cloud computing, artificial intelligence, unified communications and collaboration (UC&C), internet of things (IoT), big data analytics, digital applications development, observability and monitoring systems, connectivity via fiber optics, and fixed-line telephony in mandated areas. Oi operates a robust portfolio tailored for the corporate market and continues to evolve from traditional telephony towards advanced IT and communication technologies, emphasizing innovation, digital transformation, and sustainability practices.","['Communication Services', 'Information Technology']",['Information Technology Broadcasting and Telecommunications'],"['Communications Devices and Accessories', 'Components for information technology or broadcasting or telecommunications', 'Data Voice or Multimedia Network Equipment or Platforms and Accessories', 'Software']","['Telephony equipment', 'Network service equipment', 'Network management software', 'Security and protection software', 'Cloud computing', 'Datacom and network connectivity installation devices and equipment', 'Digital subscriber loop DSL access equipment and components and accessories']","['Telecommunication equipment installation or modification kits', 'Network routers', 'Network switches', 'Telephony equipment alarm units', 'Managed lease line network MLLN equipment']"
MRV,mrve3,https://www.mrv.com.br,"The provided webpage content does not contain any information about the company or its products and services, as it only indicates that JavaScript needs to be enabled to run the application.",['Information Technology'],['Electronic Components and Supplies'],['Electronic hardware and component parts and accessories'],['Electronic component parts and raw materials and accessories'],"['Heat sinks', 'Semiconductor dies', 'Semiconductor wafers', 'Integrated circuit packages', 'Integrated circuit sockets or mounts', 'Discrete component mounts', 'Heat sink compounds', 'Insulators for heat sinks', 'Bare printed circuit boards', 'Integrated circuit lids', 'Sputtering targets', 'Photo mask', 'Bare flexible printed circuit board', 'Single sided bare printed circuit board', 'Double sided bare printed circuit board', 'Multilayer bare printed circuit board', 'Heavy layer copper bare printed circuit board', 'Electroplated gold layer bare printed circuit board', 'Assembled flexible printed circuit board', 'Low temperature co fired ceramic substrate', 'Ceramic for printed circuit board PCB substrates', 'Electrical or electronic device holder']"
TIM,tims3,https://www.tim.com.br,"TIM is a leading telecommunications company in Brazil, offering a wide range of services including mobile telephony, internet services (both mobile and fixed broadband), and voice services. The company provides various types of plans such as prepaid, control, and postpaid plans for individual and corporate customers. TIM is also a pioneer in 5G technology deployment in Brazil and offers solutions for IoT and machine-to-machine communication. Additionally, it has a strong focus on customer service quality, accessibility, and regulatory compliance. TIM invests in social initiatives through Instituto TIM, promoting science, technology, education, inclusion, and innovation. The company also supports and sponsors cultural and sports events, including major music festivals. It maintains active participation in consumer councils to ensure service quality and user engagement. Main products and services include mobile phone plans, fixed and mobile internet, corporate telecommunications solutions, customer service channels, and value-added services like streaming subscriptions and digital content.",['Communication Services'],['Information Technology Broadcasting and Telecommunications'],"['Communications Devices and Accessories', 'Components for information technology or broadcasting or telecommunications', 'Data Voice or Multimedia Network Equipment or Platforms and Accessories']","['Telephony equipment', 'Digital mobile network infrastructure equipment and components', 'Network service equipment', 'Mobile messaging platforms']","['2G GSM mobile core network equipment and components', '2G GSM wireless access network equipment and components', '3G UMTS mobile core network equipment and components', '3G UMTS wireless access network equipment and components', 'WLAN mobile core network equipment and components', 'WLAN wireless access network equipment and components', 'Internet service node startup kits', 'Network routers', 'Network switches', 'Wireless fidelity base stations Wifi', 'Cable modems', 'Integrated services digital network ISDN access devices', 'Internet protocol IP multimedia subsystem hardware', 'Wireless access point', 'Voice messaging portal', 'Multimedia service center', 'Unified messaging platform', 'Instant messaging platform']"
CSN Mineração,cmin3,https://www.csnmineracao.com.br,"CSN Mineração S.A. is a leading Brazilian mining company primarily focused on iron ore extraction and export. It is the second largest exporter of iron ore in Brazil and ranks among the top five globally in the transoceanic market. The company operates several mining sites including Casa de Pedra and Engenho, with significant iron ore reserves certified by international standards. Additionally, CSN Mineração manages a beneficiation complex at Pires, holds a participation in the MRS railway company, and operates a dedicated export terminal (TECAR) at the Port of Itaguaí. Their main products include granulated iron ore, sinter feed, pellet feed, and concentrate, serving clients across Asia, Europe, North America, and Brazil. The company offers integrated mining operations, processing, logistics via railway, and port terminal services to facilitate iron ore export. It is part of the CSN group and engaged in sustainable practices including independence from tailings dams and environmental responsibility.",['Materials'],['Mineral and Textile and Inedible Plant and Animal Materials'],['Minerals and ores and metals'],"['Ores', 'Base Metals']",['Iron ore']
Eneva,enev3,https://www.eneva.com.br,"Eneva is Brazil's largest private natural gas operator, integrated in energy, engaging in exploration, production, and supply of energy. Operating 15 natural gas fields across major Brazilian basins, it has the country's largest concession area. Eneva's generation capacity totals approximately 7.2 GW, including thermoelectric plants in several states and a significant solar energy complex. The company offers energy generation, natural gas exploration and production, energy commercialization, and technological innovation solutions. Eneva focuses on providing secure, efficient energy solutions supporting Brazil's energy transition with a diversified portfolio comprising thermal, renewable, natural gas, liquefied natural gas (LNG), and energy infrastructure projects. It is committed to sustainability, governance, research and development, and maintaining high ethical standards.",['Energy'],['Mining and oil and gas services'],"['Oil and gas exploration services', 'Oil and gas extraction and production enhancement services', 'Oil and gas well project management services']",['Other oilfield support services'],"['Oilfield research and development services', 'Oil and gas technology licensing service', 'Oilfield consultancy services']"
Cury,cury3,https://www.statusinvest.com.br,"Status Invest is a financial investment platform that provides comprehensive tools, information, and services related to various investment assets primarily in the Brazilian and international markets. The company offers detailed data, analytics, and insights on stocks, real estate investment trusts (REITs), exchange-traded funds (ETFs), fixed income, cryptocurrencies, and other financial instruments. Its services include advanced search and analysis functionalities for stocks, IPOs, FIIs (Brazilian real estate funds), investment funds (FIAs, FIDCs, FIPs, FI-Infra, Fiagros), BDRs, Treasury bonds, and market indexes. Status Invest also offers personalized financial advisory services with several tiers of investment advisory plans (on-demand, exclusive, premium, private), designed to provide portfolio mapping, goal alignment, continuous monitoring by dedicated advisors, and fixed transparent fees. The advisory service emphasizes client-aligned interests and certified professional support to enhance investment strategies and growth. In addition, the platform features real-time data updates, dividend information, event calendars, and educational content like investment courses. Overall, Status Invest operates as a comprehensive investment management and advisory platform aiming to centralize investment tracking, provide research tools, and offer tailored financial advice to help investors make informed decisions and grow their wealth.",['Financials'],"['Financial Instruments, Products, Contracts and Agreements', 'Financial and Insurance Services']","['Banking and investment', 'Securities', 'Credit agencies']","['Investment advice', 'Securities and commodities markets services', 'Structured financial products']","['Investment advisers', 'Investment analysis', 'Market data', 'Financial asset management service', 'Exchange traded fund ETF']"
Recrusul,rcsl4,https://www.recrusul.com.br,"Recrusul S.A. is a Brazilian company specializing in the manufacturing and sale of agricultural machinery. With over 65 years of experience, the company offers a range of products including tractor implements and tractors. Additionally, Recrusul provides after-sales services such as parts supply and technical assistance. The company focuses on resilience, innovation, and growth, serving the agricultural sector primarily through its products and supportive services.",['Industrials'],['Farming and Fishing and Forestry and Wildlife Machinery and Accessories'],['Agricultural and forestry and landscape machinery and equipment'],"['Agricultural machinery for soil preparation', 'Agricultural machinery for planting and seeding', 'Agricultural machinery for harvesting', 'Agricultural processing machinery and equipment']","['Automated management system for agricultural machinery', 'Harrows', 'Cultivators', 'Planters', 'Mowers', 'Harvesters', 'Farming excavator']"
Azevedo & Travassos,azev3,https://www.azevedotravassos.com.br,"Azevedo & Travassos is a Brazilian holding company with over 145 years of engineering experience through its operational companies: Azevedo & Travassos Infraestrutura and Heftos Óleo & Gás Construções. The group specializes in large-scale infrastructure and oil & gas engineering projects. Its services and product categories include heavy construction, sanitation, pipeline construction (including oil and gas pipelines), electromechanical and industrial assembly, maintenance and industrial construction for oil and gas units (both onshore and offshore), asset management, scheduled turnarounds, and infrastructure investments via its investment arm. Key projects span transportation infrastructure (roads, bridges, tunnels, railways, metro), sanitation systems, industrial installations, and oil and gas sector operations, including platforms and refineries. The group emphasizes innovation, quality, transparency, and compliance, supported by a strong team of technical experts and a rich historical legacy dating back to 1922. It operates with a modern management approach while maintaining its century-old traditions.","['Industrials', 'Energy']","['Building and Construction Machinery and Accessories', 'Service Industry Machinery and Equipment and Supplies', 'Building and Facility Construction and Maintenance Services', 'Industrial Production and Manufacturing Services', 'Mining and oil and gas services']","['Heavy construction services', 'Oil and gas exploration services', 'Nonresidential building construction services']","['Infrastructure building and surfacing and paving services', 'Marine construction services', 'Mass transit system construction services', 'Industrial plant construction services']","['Oil and gas pipeline construction service', 'Highway and road paving service', 'Bridge construction and repair service', 'Tunnel construction and repair service', 'Railroad and railway roadbed construction service']"
Grupo Mateus,gmat3,https://www.statusinvest.com.br,"Status Invest is a financial investment platform that provides comprehensive tools, information, and services related to various investment assets primarily in the Brazilian and international markets. The company offers detailed data, analytics, and insights on stocks, real estate investment trusts (REITs), exchange-traded funds (ETFs), fixed income, cryptocurrencies, and other financial instruments. Its services include advanced search and analysis functionalities for stocks, IPOs, FIIs (Brazilian real estate funds), investment funds (FIAs, FIDCs, FIPs, FI-Infra, Fiagros), BDRs, Treasury bonds, and market indexes. Status Invest also offers personalized financial advisory services with several tiers of investment advisory plans (on-demand, exclusive, premium, private), designed to provide portfolio mapping, goal alignment, continuous monitoring by dedicated advisors, and fixed transparent fees. The advisory service emphasizes client-aligned interests and certified professional support to enhance investment strategies and growth. In addition, the platform features real-time data updates, dividend information, event calendars, and educational content like investment courses. Overall, Status Invest operates as a comprehensive investment management and advisory platform aiming to centralize investment tracking, provide research tools, and offer tailored financial advice to help investors make informed decisions and grow their wealth.",['Financials'],"['Financial Instruments, Products, Contracts and Agreements', 'Financial and Insurance Services']","['Banking and investment', 'Securities', 'Insurance and retirement services']","['Investment advice', 'Securities and commodities markets services', 'Funds transfer and clearance and exchange services']","['Investment advisers', 'Investment analysis', 'Financial asset management service', 'Market data', 'Investment policy']"
Klabin,klbn11,https://www.klabin.com.br,"Klabin is a leading Brazilian company with over 126 years of history, specializing in sustainable forestry management and the production of paper, pulp, and packaging solutions. It operates integrated processes from forest cultivation to manufacturing, ensuring responsible and eco-friendly practices. The company manages planted forests of pine and eucalyptus across the states of Paraná, Santa Catarina, and São Paulo, maintaining high environmental conservation standards with 41% of its forest areas preserved. Klabin's main products and services include various types of cellulose (long fiber, short fiber, fluff), papers (kraftliner, sack kraft, paperboard, recycled papers), and packaging solutions such as bags and boxes tailored for different industries including agribusiness, animal feed, food and beverages, construction, e-commerce, hygiene and cleaning, electronics, and mining. Klabin also offers customized and e-commerce packaging solutions. The company is committed to innovation, sustainability, and circular economy principles, using renewable raw materials and aiming to minimize environmental impacts through efficient energy and water use, waste recycling, and reduction of greenhouse gas emissions. Additionally, Klabin supports community development programs, research in forestry, and promotes diversity and integrity within its workforce.","['Materials', 'Consumer Staples']","['Paper Materials and Products', 'Food and Beverage Products']","['Paper materials', 'Paper products', 'Industrial use papers']","['Raw materials', 'Business use papers', 'Paperboard and packaging papers']","['Paper pulp', 'Multipurpose business book', 'Packaging paper', 'Bleached paperboard', 'Unbleached paperboard']"
Allos,alos3,https://www.alianscesonae.com.br,"Allos is a leading Brazilian company specializing in the management and operation of shopping centers. Formed in 2023 through the merger of Aliansce Sonae and brMalls, the company has a strong heritage with around 50 years of experience in transforming retail in Brazil. Allos operates a portfolio of 54 shopping centers across all five regions of Brazil, hosting over 15,000 stores and thousands of brands. The company focuses on offering an innovative platform that integrates entertainment, lifestyle, services, and retail shopping experiences both physically and digitally. Its main products and services include shopping center management and development, commercial leasing, marketing services within malls, and digital innovation through its ALLOSTECH initiative. Committed to sustainability, ethical governance, social inclusion, and environmental responsibility, Allos takes a comprehensive approach to corporate governance and ESG practices. It prioritizes consumer experience enhancement, innovation, talent development, and sustainable long-term business growth.","['Consumer Discretionary', 'Real Estate']","['Travel and Food and Lodging and Entertainment Services', 'Land and Buildings and Structures and Thoroughfares', 'Organizations and Clubs']","['Permanent buildings and structures', 'Commercial sports', 'Entertainment services']","['Commercial and entertainment buildings and structures', 'Accommodation buildings and structures', 'Leisure service']",['Shopping center']
GPS,ggps3,https://www.gpssa.com.br,"Grupo GPS is a Brazilian company with over 60 years of history, providing comprehensive services across the country focused on serving its clients with dedication. The company specializes in multiple service areas including Facilities management, Security, Logistics, Utilities Engineering, Industrial and Building Services, Infrastructure Services, Food Services, Trade Marketing, and Human Resources. They emphasize sustainable practices, innovation, and quality in service delivery, supported by extensive training and a strong presence throughout Brazil. Grupo GPS operates under five core pillars: Management, Partnerships, Quality, Training, and Innovation, aiming to build long-term client relationships and deliver cost-effective, innovative solutions with social and environmental responsibility.","['Consumer Discretionary', 'Industrials', 'Utilities']","['Building and Facility Construction and Maintenance Services', 'Management and Business Professionals and Administrative Services', 'Environmental Services', 'Public Utilities and Public Sector Related Services']","['Building and facility maintenance and repair services', 'Human resources services', 'Utilities', 'Management advisory services', 'Environmental management']","['Facility maintenance and repair services', 'Building maintenance and repair services', 'Human resource development', 'Business and corporate management consultation services', 'Project management']","['Facility management minor projects', 'Building maintenance service', 'Facility integrity management service', 'Management development', 'Recruitment services']"
Caixa Seguridade,cxse3,https://www.caixaseguridade.com.br,"CAIXA Seguridade, a wholly-owned subsidiary of CAIXA established in 2015, consolidates CAIXA's insurance-related operations in Brazil. Offering a broad range of products, the company provides life insurance, property insurance including residential and auto insurance, group insurance, loan protection insurance, private pension plans, capitalization bonds, consortia (group purchasing plans), and 24-hour assistance services for homes, cars, and motorcycles. With extensive distribution through CAIXA's large network of bank branches, lottery outlets, and correspondents, CAIXA Seguridade focuses on customer satisfaction, innovation, transparency, integrity, and simplicity in its operations.","['Financials', 'Consumer Discretionary']",['Financial and Insurance Services'],['Insurance and retirement services'],"['Insurance services for structures and property and possessions', 'Life and health and accident insurance', 'Pension funds', 'Retirement funds']","['Life insurance', 'Homeowners or renters insurance', 'Car or truck insurance', 'Employers administered pension funds']"
Suzano,suzb3,https://www.suzano.com.br,"Suzano is a Brazilian multinational company and the largest producer of eucalyptus cellulose globally. It is also the largest paper manufacturer in Latin America and the leading Brazilian company in the paper hygiene market. The company operates by planting and harvesting eucalyptus trees to create renewable, sustainable products. Suzano produces cellulose (used for various paper products), cellulose fluff (used in diapers and feminine hygiene products), lignin (applied in sustainable materials like tires and adhesives), paper and packaging (including printing, writing, special papers, and paperboard), and hygiene products (such as toilet paper, paper towels, napkins, reusable cloths, diapers, and professional cleaning lines). It serves more than 2 billion people worldwide in over 100 countries. The company also emphasizes sustainability, innovation, and social responsibility, maintaining extensive conservation areas and pursuing commitments to diversity, equity, and inclusion.","['Consumer Staples', 'Materials']","['Mineral and Textile and Inedible Plant and Animal Materials', 'Paper Materials and Products']","['Non edible plant and forestry products', 'Paper products', 'Industrial use papers']","['Wood', 'Paperboard and packaging papers', 'Business use papers', 'Tissue papers', 'Personal paper products']","['Eucalyptus wood', 'Wood pulp', 'Bleached paperboard', 'Unbleached paperboard', 'Packaging paper']"
Copel,cple3,https://www.copel.com,"Copel (Companhia Paranaense de Energia) is one of the largest integrated energy companies in Brazil, operating primarily in the state of Paraná. The company offers a range of services including energy distribution, generation, transmission, and participation in the free energy market. Copel manages extensive electrical infrastructure such as substations, intelligent meters, and a wide network of power lines to provide electricity to both urban and rural areas. Besides its core electricity business, Copel provides products like home and life insurance services. The company maintains a strong focus on corporate governance, transparency, sustainability, and integrity programs to ensure ethical business practices and compliance with regulations. Additionally, Copel supports initiatives in research, development, innovation, and social and cultural projects through sponsorship. It also offers customer services such as digital billing and consumption simulation. Key services include energy distribution, generation, transmission, free market energy trading, and insurance products.","['Energy', 'Financials']",['Financial and Insurance Services'],"['Banking and investment', 'Insurance and retirement services']","['Insurance services for structures and property and possessions', 'Life and health and accident insurance', 'Banking institutions']","['Homeowners or renters insurance', 'Life insurance']"
BB Seguridade,bbse3,https://www.statusinvest.com.br,"Status Invest is a financial investment platform that provides comprehensive tools, information, and services related to various investment assets primarily in the Brazilian and international markets. The company offers detailed data, analytics, and insights on stocks, real estate investment trusts (REITs), exchange-traded funds (ETFs), fixed income, cryptocurrencies, and other financial instruments. Its services include advanced search and analysis functionalities for stocks, IPOs, FIIs (Brazilian real estate funds), investment funds (FIAs, FIDCs, FIPs, FI-Infra, Fiagros), BDRs, Treasury bonds, and market indexes. Status Invest also offers personalized financial advisory services with several tiers of investment advisory plans (on-demand, exclusive, premium, private), designed to provide portfolio mapping, goal alignment, continuous monitoring by dedicated advisors, and fixed transparent fees. The advisory service emphasizes client-aligned interests and certified professional support to enhance investment strategies and growth. In addition, the platform features real-time data updates, dividend information, event calendars, and educational content like investment courses. Overall, Status Invest operates as a comprehensive investment management and advisory platform aiming to centralize investment tracking, provide research tools, and offer tailored financial advice to help investors make informed decisions and grow their wealth.",['Financials'],"['Financial Instruments, Products, Contracts and Agreements', 'Financial and Insurance Services']","['Banking and investment', 'Securities', 'Insurance and retirement services']","['Investment advice', 'Securities and commodities markets services', 'Funds transfer and clearance and exchange services']","['Investment advisers', 'Investment analysis', 'Financial asset management service', 'Market data']"
Simpar,simh3,https://www.simpar.com.br,"SIMPAR is a Brazilian holding company that directs and manages a group of eight independent businesses operating in diverse sectors. Its portfolio includes logistics, vehicle rental and fleet management, long-term rental and sales of trucks and heavy equipment, public service management such as fleet outsourcing and urban cleaning, dealership operations for vehicles and heavy machinery, digital banking services targeting professional drivers, and infrastructure concession management including waste management, ports, and urban revitalization projects. The group emphasizes sustainable development, governance, and social responsibility, employing over 57,000 people and operating across Brazil and internationally. Key affiliated companies are JSL (road logistics), Movida (vehicle rental and fleet management), Vamos (rental and sales of trucks, machinery, and equipment), CS Brasil (public service contracts and fleet management), Automob (largest dealership group in Brazil), Banco BBC Digital (financial services), CS Infra (infrastructure and concessions), and Ciclus Ambiental (waste management and sanitation).","['Industrials', 'Consumer Discretionary', 'Financials', 'Utilities']","['Transportation and Storage and Mail Services', 'Service Industry Machinery and Equipment and Supplies', 'Public Utilities and Public Sector Related Services', 'Financial and Insurance Services', 'Industrial Production and Manufacturing Services']","['Transport services', 'Passenger transport', 'Mail and cargo transport', 'Material packing and handling', 'Storage']","['Logistics operation management', 'Transport rental services', 'Transport container rental services', 'Transport conveyance rental or lease services', 'Terminal services']","['Rental of truck with operator', 'Small parcel account management', 'Claim management', 'Terminal operations', 'Stevedoring services']"
Ânima Educação,anim3,https://www.animaeducacao.com.br,"Ânima Educação is one of Brazil's leading private higher education organizations, operating as an educational ecosystem that integrates numerous institutions with a combined history of over 850 years. Founded with a mission to transform Brazil through education, the company prioritizes quality, innovation, and personalized learning experiences aligned with students' life and career projects. Ânima manages a network of universities and educational brands including UNA, Anhembi Morumbi, UNISOCIESC, UNIFACS, Milton Campos, São Judas, and others, serving approximately 390,000 students with a workforce of around 18,000 educators and employees. Its offerings include undergraduate and graduate programs across diverse fields, innovation initiatives like the Titans Lab to foster student startups, and partnerships with recognized organizations such as HSM, SingularityU Brazil, and Le Cordon Bleu. The company emphasizes an integrated and competency-based curriculum, mentoring, research, and sustainability-focused education. It also engages in investors relations with strong leadership recognized in Latin America. Ânima aims for holistic student development, preparing individuals as professionals and citizens committed to social impact and innovation.","['Consumer Discretionary', 'Health Care']",['Education and Training Services'],"['Educational institutions', 'Vocational training', 'Specialized educational services']","['University and colleges', 'Management education and training services', 'Educational support services']","['Undergraduate programs', 'Postgraduate programs', 'Educational innovation service', 'Curriculum development service', 'Teaching and educational research service']"
Multiplan,mult3,https://www.multiplan.com.br,"Multiplan is a leading Brazilian company specialized in developing and managing shopping centers and real estate projects. Founded in 1974, it operates a portfolio of 20 shopping malls and 2 corporate tower complexes in major urban centers, totaling over 2 million square meters constructed and approximately 930,000 square meters of leasable area. Their developments host over 6,000 stores and receive around 200 million visits annually. Multiplan is a pioneer in creating mixed-use projects that integrate shopping centers, medical centers, residential buildings, and commercial towers, creating value and a new lifestyle for its customers. The company offers services in real estate incorporation, commercial leasing, property administration, and Mall & Media advertising spaces. Additionally, Multiplan emphasizes ESG practices, including sustainability initiatives and social responsibility programs. It also manages digital innovation, customer engagement through apps, and hosts numerous cultural and entertainment events. The company values privacy and data protection for customers, tenants, and employees, with dedicated policies and compliance measures. Multiplan plays a significant role in urban development, employment generation, and social impact in the regions it operates.",['Real Estate'],['Land and Buildings and Structures and Thoroughfares'],['Permanent buildings and structures'],"['Commercial and entertainment buildings and structures', 'Accommodation buildings and structures', 'Public buildings and structures']","['Shopping mall', 'Shopping center', 'Cafeteria', 'Market']"
Ultrapar,ugpa3,https://www.ultra.com.br,"Grupo Ultra, through its holding Ultrapar Participações S.A., is a Brazilian conglomerate with over 85 years of history, active mainly in the energy, mobility, and logistics infrastructure sectors. Its main business units include Ipiranga, specializing in fuel distribution, convenience stores, and automotive services; Ultragaz, a leader in bottled liquefied petroleum gas (GLP) distribution and energy solutions; Ultracargo, the country's largest independent liquid bulk storage company with integrated logistics solutions; and Hidrovias do Brasil, focused on efficient and low-carbon integrated waterway transportation, terminal operations, cabotage, and logistics services primarily supporting the agribusiness sector. Grupo Ultra offers products and services such as fuel retail, gas distribution, chemical products (historically), logistics for granulated liquid storage, and waterway transportation. The group is committed to innovation, scalability, security, and sustainability, holding a strong emphasis on governance and integrity. It also invests in people development, partnerships in education, and ESG initiatives.","['Energy', 'Industrials', 'Consumer Discretionary']","['Fuels and Fuel Additives and Lubricants and Anti corrosive Materials', 'Mining and oil and gas services', 'Transportation and Storage and Mail Services', 'Environmental Services']","['Fuels', 'Gaseous fuels and additives', 'Transport services', 'Logistics']","['Petroleum and distillates', 'Gaseous fuels', 'Logistics operation management', 'Terminal services', 'Transport arranging services']","['Gasoline or Petrol', 'Liquified petroleum gas', 'Terminal operations', 'Fuel distribution', 'Logistics infrastructure']"
COPASA,csmg3,https://www.copasa.com.br,"Copasa is a Brazilian company that operates in the water supply and sanitation sector. It provides services including water distribution, sewage collection, and treatment services. The company focuses on ensuring the provision of quality water and sanitation solutions to its customers, contributing to public health and environmental sustainability.",['Utilities'],['Public Utilities and Public Sector Related Services'],['Utilities'],['Water and sewer utilities'],"['Supply of water', 'Water distribution management', 'Water treatment services']"
